"Taxon","census_taxid","census_otu_count","census_size_count","otu_percentage","size_percentage","ncbi_genome_count","ncbi_species_count","genome_pct_db","species_pct","direct_name_matches","direct_taxid_matches","hierarchical_taxid_matches","lineage_name_matches","total_matches","match_status","domain","isolate_count","isolate_percentage","novelty_factor","overrepresentation_factor","Circle_Size","Phylum","Is_Top_Novelty","Is_Top_Coverage"
"Thermoanaerobaculaceae","2562242",708,2663,0.29,0.24,52,4,0,0,0,0,4,0,4,"matched","Bacteria",3,5.77,177,0.006,20,"Acidobacteriota",TRUE,FALSE
"Blastocatellaceae","1748772",430,1683,0.17,0.15,65,3,0,0,0,0,3,0,3,"matched","Bacteria",0,0,143.333,0.007,25,"Acidobacteriota",TRUE,FALSE
"Kofleriaceae","224464",749,3138,0.3,0.28,204,6,0.01,0.01,0,0,6,0,6,"matched","Bacteria",5,2.45,124.833,0.008,20,"Myxococcota",TRUE,FALSE
"Pyrinomonadaceae","2048906",659,3239,0.27,0.29,814,6,0.03,0.01,0,0,6,0,6,"matched","Bacteria",1,0.12,109.833,0.009,20,"Acidobacteriota",TRUE,FALSE
"Microscillaceae","1937962",617,2545,0.25,0.23,14,6,0,0.01,0,0,6,0,6,"matched","Bacteria",2,14.29,102.833,0.01,15,"Bacteroidota",TRUE,FALSE
"Longimicrobiaceae","1804993",301,757,0.12,0.07,86,3,0,0,0,0,3,0,3,"matched","Bacteria",3,3.49,100.333,0.01,20,"Gemmatimonadota",TRUE,FALSE
"Chthoniobacteraceae","1836792",791,4749,0.32,0.42,308,8,0.01,0.01,0,0,8,0,8,"matched","Bacteria",3,0.97,98.875,0.01,20,"Verrucomicrobiota",TRUE,FALSE
"Vicinamibacteraceae","2211325",549,2228,0.22,0.2,61,6,0,0.01,0,0,6,0,6,"matched","Bacteria",2,3.28,91.5,0.011,20,"Acidobacteriota",TRUE,FALSE
"Williamwhitmaniaceae","2038695",149,591,0.06,0.05,4,2,0,0,0,0,2,0,2,"matched","Bacteria",1,25,74.5,0.013,15,"Bacteroidota",TRUE,FALSE
"Rhodothermaceae","563843",881,3069,0.36,0.27,92,13,0,0.01,0,0,13,0,13,"matched","Bacteria",13,14.13,67.769,0.015,15,"Rhodothermota",TRUE,FALSE
"Pelagibacteraceae","1655514",6,22,0,0,4339,220,0.15,0.21,0,0,220,0,220,"matched","Bacteria",1256,28.95,0.027,36.667,15,"Other",FALSE,TRUE
"Gloeomargaritaceae","1955043",1,16,0,0,35,29,0,0.03,0,0,29,0,29,"matched","Bacteria",2,5.71,0.034,29,20,"Cyanobacteriota",FALSE,TRUE
"Breoghaniaceae","2821832",7,13,0,0,358,136,0.01,0.13,0,0,136,0,136,"matched","Bacteria",179,50,0.051,19.429,10,"Other",FALSE,TRUE
"Bartonellaceae","772",15,196,0.01,0.02,582,286,0.02,0.28,0,0,286,0,286,"matched","Bacteria",530,91.07,0.052,19.067,10,"Pseudomonadota",FALSE,TRUE
"Chlorobiaceae","191412",2,3,0,0,666,38,0.02,0.04,0,0,38,0,38,"matched","Bacteria",35,5.26,0.053,19,20,"Chlorobiota",FALSE,TRUE
"Hydrogenimonaceae","40117",22,70,0.01,0.01,3366,241,0.11,0.24,0,0,241,0,241,"matched","Bacteria",163,4.84,0.091,10.955,20,"Other",FALSE,TRUE
"Thermosynechococcaceae","2881378",5,24,0,0,75,52,0,0.05,0,0,52,0,52,"matched","Bacteria",41,54.67,0.096,10.4,10,"Cyanobacteriota",FALSE,TRUE
"Simkaniaceae","92712",1,1,0,0,42,9,0,0.01,0,0,9,0,9,"matched","Bacteria",4,9.52,0.111,9,20,"Chlamydiota",FALSE,TRUE
"Ancalomicrobiaceae","2172021",1,11,0,0,14,8,0,0.01,0,0,8,0,8,"matched","Bacteria",8,57.14,0.125,8,10,"Pseudomonadota",FALSE,TRUE
"Sirenicapillariaceae","2934961",5,24,0,0,76,38,0,0.04,0,0,38,0,38,"matched","Bacteria",31,40.79,0.132,7.6,15,"Cyanobacteriota",FALSE,TRUE
"Acanthopleuribacteraceae","533207",45,72,0.02,0.01,7,3,0,0,0,0,3,0,3,"matched","Bacteria",4,57.14,15,0.067,10,"Acidobacteriota",FALSE,FALSE
"Acaryochloridaceae","1890429",8,25,0,0,26,19,0,0.02,0,0,19,0,19,"matched","Bacteria",8,30.77,0.421,2.375,15,"Cyanobacteriota",FALSE,FALSE
"Acetobacteraceae","433",980,5189,0.4,0.46,1964,294,0.07,0.29,0,0,294,0,294,"matched","Bacteria",691,35.18,3.333,0.3,15,"Pseudomonadota",FALSE,FALSE
"Acetomicrobiaceae","3029086",21,128,0.01,0.01,48,10,0,0.01,0,0,10,0,10,"matched","Bacteria",6,12.5,2.1,0.476,15,"Synergistota",FALSE,FALSE
"Acholeplasmataceae","2146",417,1763,0.17,0.16,627,122,0.02,0.12,0,0,122,0,122,"matched","Bacteria",156,24.88,3.418,0.293,15,"Mycoplasmatota",FALSE,FALSE
"Acidaminococcaceae","909930",296,1403,0.12,0.12,1608,42,0.05,0.04,0,0,42,0,42,"matched","Bacteria",89,5.53,7.048,0.142,20,"Bacillota",FALSE,FALSE
"Acidiferrobacteraceae","1692041",106,532,0.04,0.05,217,10,0.01,0.01,0,0,10,0,10,"matched","Bacteria",5,2.3,10.6,0.094,20,"Pseudomonadota",FALSE,FALSE
"Acidimicrobiaceae","84994",44,194,0.02,0.02,2375,42,0.08,0.04,0,0,42,0,42,"matched","Bacteria",45,1.89,1.048,0.955,20,"Actinomycetota",FALSE,FALSE
"Acidithiobacillaceae","225058",137,457,0.06,0.04,341,40,0.01,0.04,0,0,40,0,40,"matched","Bacteria",140,41.06,3.425,0.292,15,"Pseudomonadota",FALSE,FALSE
"Acidobacteriaceae","204434",334,2801,0.14,0.25,2420,97,0.08,0.09,0,0,97,0,97,"matched","Bacteria",106,4.38,3.443,0.29,20,"Acidobacteriota",FALSE,FALSE
"Acidothermaceae","85032",153,2296,0.06,0.2,21,4,0,0,0,0,4,0,4,"matched","Bacteria",2,9.52,38.25,0.026,20,"Actinomycetota",FALSE,FALSE
"Actinomycetaceae","2049",377,1477,0.15,0.13,2055,272,0.07,0.27,0,0,272,0,272,"matched","Bacteria",935,45.5,1.386,0.721,15,"Actinomycetota",FALSE,FALSE
"Actinopolymorphaceae","2805400",7,38,0,0,21,10,0,0.01,0,0,10,0,10,"matched","Bacteria",15,71.43,0.7,1.429,10,"Actinomycetota",FALSE,FALSE
"Actinopolysporaceae","622451",8,44,0,0,18,13,0,0.01,0,0,13,0,13,"matched","Bacteria",18,100,0.615,1.625,10,"Actinomycetota",FALSE,FALSE
"Actinospicaceae","414713",55,305,0.02,0.03,26,7,0,0.01,0,0,7,0,7,"matched","Bacteria",9,34.62,7.857,0.127,15,"Actinomycetota",FALSE,FALSE
"Aerococcaceae","186827",113,357,0.05,0.03,606,107,0.02,0.1,0,0,107,0,107,"matched","Bacteria",429,70.79,1.056,0.947,10,"Bacillota",FALSE,FALSE
"Aeromonadaceae","84642",327,1980,0.13,0.18,4771,353,0.16,0.34,0,0,353,0,353,"matched","Bacteria",4512,94.57,0.926,1.08,10,"Pseudomonadota",FALSE,FALSE
"Afifellaceae","2829802",11,22,0,0,30,11,0,0.01,0,0,11,0,11,"matched","Bacteria",19,63.33,1,1,10,"Pseudomonadota",FALSE,FALSE
"Ahrensiaceae","2829814",56,144,0.02,0.01,85,21,0,0.02,0,0,21,0,21,"matched","Bacteria",21,24.71,2.667,0.375,15,"Pseudomonadota",FALSE,FALSE
"Akkermansiaceae","1647988",206,1200,0.08,0.11,3747,129,0.13,0.13,0,0,129,0,129,"matched","Bacteria",833,22.23,1.597,0.626,15,"Verrucomicrobiota",FALSE,FALSE
"Alcaligenaceae","506",403,3876,0.16,0.34,5022,340,0.17,0.33,0,0,340,0,340,"matched","Bacteria",4041,80.47,1.185,0.844,10,"Pseudomonadota",FALSE,FALSE
"Alcanivoracaceae","224372",190,1091,0.08,0.1,410,104,0.01,0.1,0,0,104,0,104,"matched","Bacteria",81,19.76,1.827,0.547,15,"Pseudomonadota",FALSE,FALSE
"Algiphilaceae","1266054",6,20,0,0,23,4,0,0,0,0,4,0,4,"matched","Bacteria",3,13.04,1.5,0.667,15,"Pseudomonadota",FALSE,FALSE
"Alicyclobacillaceae","186823",176,745,0.07,0.07,125,55,0,0.05,0,0,55,0,55,"matched","Bacteria",90,72,3.2,0.312,10,"Bacillota",FALSE,FALSE
"Aliterellaceae","2917811",11,25,0,0,5,4,0,0,0,0,4,0,4,"matched","Bacteria",2,40,2.75,0.364,15,"Cyanobacteriota",FALSE,FALSE
"Alsobacteraceae","2792775",6,125,0,0.01,26,8,0,0.01,0,0,8,0,8,"matched","Bacteria",6,23.08,0.75,1.333,15,"Pseudomonadota",FALSE,FALSE
"Alteromonadaceae","72275",514,2140,0.21,0.19,1165,311,0.04,0.3,0,0,311,0,311,"matched","Bacteria",427,36.65,1.653,0.605,15,"Pseudomonadota",FALSE,FALSE
"Aminiphilaceae","3029090",6,17,0,0,7,4,0,0,0,0,4,0,4,"matched","Bacteria",2,28.57,1.5,0.667,15,"Synergistota",FALSE,FALSE
"Aminobacteriaceae","3029087",117,296,0.05,0.03,154,30,0.01,0.03,0,0,30,0,30,"matched","Bacteria",7,4.55,3.9,0.256,20,"Synergistota",FALSE,FALSE
"Amoebophilaceae","1501348",157,537,0.06,0.05,49,24,0,0.02,0,0,24,0,24,"matched","Bacteria",24,48.98,6.542,0.153,15,"Bacteroidota",FALSE,FALSE
"Amorphaceae","2685818",15,42,0.01,0,16,13,0,0.01,0,0,13,0,13,"matched","Bacteria",14,87.5,1.154,0.867,10,"Pseudomonadota",FALSE,FALSE
"Anaerolineaceae","292628",2466,12800,1,1.13,1370,95,0.05,0.09,0,0,95,0,95,"matched","Bacteria",19,1.39,25.958,0.039,20,"Chloroflexota",FALSE,FALSE
"Anaeromyxobacteraceae","1524215",170,951,0.07,0.08,145,20,0,0.02,0,0,20,0,20,"matched","Bacteria",17,11.72,8.5,0.118,15,"Myxococcota",FALSE,FALSE
"Anaeroplasmataceae","186333",114,514,0.05,0.05,603,5,0.02,0,0,0,5,0,5,"matched","Bacteria",1,0.17,22.8,0.044,20,"Mycoplasmatota",FALSE,FALSE
"Anaerovoracaceae","543314",456,1143,0.19,0.1,995,74,0.03,0.07,0,0,74,0,74,"matched","Bacteria",69,6.93,6.162,0.162,20,"Bacillota",FALSE,FALSE
"Anaplasmataceae","942",296,1229,0.12,0.11,1914,394,0.06,0.38,0,0,394,0,394,"matched","Bacteria",639,33.39,0.751,1.331,15,"Pseudomonadota",FALSE,FALSE
"Antricoccaceae","2805401",6,14,0,0,3,2,0,0,0,0,2,0,2,"matched","Bacteria",1,33.33,3,0.333,15,"Actinomycetota",FALSE,FALSE
"Aphanizomenonaceae","1892259",39,662,0.02,0.06,403,78,0.01,0.08,0,0,78,0,78,"matched","Bacteria",116,28.78,0.5,2,15,"Cyanobacteriota",FALSE,FALSE
"Aphanothecaceae","1890450",18,156,0.01,0.01,70,21,0,0.02,0,0,21,0,21,"matched","Bacteria",30,42.86,0.857,1.167,15,"Cyanobacteriota",FALSE,FALSE
"Aquificaceae","64898",72,511,0.03,0.05,352,35,0.01,0.03,0,0,35,0,35,"matched","Bacteria",21,5.97,2.057,0.486,20,"Aquificota",FALSE,FALSE
"Archangiaceae","39",36,318,0.01,0.03,114,26,0,0.03,0,0,26,0,26,"matched","Bacteria",36,31.58,1.385,0.722,15,"Myxococcota",FALSE,FALSE
"Arcobacteraceae","2808963",385,1780,0.16,0.16,1039,88,0.04,0.09,0,0,88,0,88,"matched","Bacteria",723,69.59,4.375,0.229,10,"Campylobacterota",FALSE,FALSE
"Ardenticatenaceae","1382930",59,110,0.02,0.01,84,4,0,0,0,0,4,0,4,"matched","Bacteria",2,2.38,14.75,0.068,20,"Chloroflexota",FALSE,FALSE
"Arenicellaceae","1617891",199,690,0.08,0.06,58,7,0,0.01,0,0,7,0,7,"matched","Bacteria",4,6.9,28.429,0.035,20,"Pseudomonadota",FALSE,FALSE
"Armatimonadaceae","1042314",23,511,0.01,0.05,27,4,0,0,0,0,4,0,4,"matched","Bacteria",1,3.7,5.75,0.174,20,"Armatimonadota",FALSE,FALSE
"Atopobiaceae","1643824",114,665,0.05,0.06,1520,169,0.05,0.16,0,0,169,0,169,"matched","Bacteria",160,10.53,0.675,1.482,15,"Actinomycetota",FALSE,FALSE
"Aurantimonadaceae","255475",60,248,0.02,0.02,158,90,0.01,0.09,0,0,90,0,90,"matched","Bacteria",117,74.05,0.667,1.5,10,"Pseudomonadota",FALSE,FALSE
"Azonexaceae","2008795",105,580,0.04,0.05,279,35,0.01,0.03,0,0,35,0,35,"matched","Bacteria",35,12.54,3,0.333,15,"Pseudomonadota",FALSE,FALSE
"Azospirillaceae","2829815",210,1213,0.09,0.11,400,103,0.01,0.1,0,0,103,0,103,"matched","Bacteria",201,50.25,2.039,0.49,10,"Pseudomonadota",FALSE,FALSE
"Bacillaceae","186817",4810,22660,1.96,2.01,21446,3655,0.72,3.57,0,0,3655,0,3655,"matched","Bacteria",20860,97.27,1.316,0.76,10,"Bacillota",FALSE,FALSE
"Bacteriovoracaceae","263369",445,1603,0.18,0.14,348,43,0.01,0.04,0,0,43,0,43,"matched","Bacteria",16,4.6,10.349,0.097,20,"Bdellovibrionota",FALSE,FALSE
"Bacteroidaceae","815",1171,6085,0.48,0.54,17869,371,0.6,0.36,0,0,371,0,371,"matched","Bacteria",6531,36.55,3.156,0.317,15,"Bacteroidota",FALSE,FALSE
"Balneatrichaceae","2301193",2,2,0,0,11,5,0,0,0,0,5,0,5,"matched","Bacteria",9,81.82,0.4,2.5,10,"Pseudomonadota",FALSE,FALSE
"Balneicellaceae","1903335",1,1,0,0,1,1,0,0,0,0,1,0,1,"matched","Bacteria",1,100,1,1,10,"Bacteroidota",FALSE,FALSE
"Barnesiellaceae","2005519",110,548,0.04,0.05,601,23,0.02,0.02,0,0,23,0,23,"matched","Bacteria",48,7.99,4.783,0.209,20,"Bacteroidota",FALSE,FALSE
"Beijerinckiaceae","45404",351,1602,0.14,0.14,392,32,0.01,0.03,0,0,32,0,32,"matched","Bacteria",30,7.65,10.969,0.091,20,"Pseudomonadota",FALSE,FALSE
"Bernardetiaceae","1937968",18,131,0.01,0.01,17,8,0,0.01,0,0,8,0,8,"matched","Bacteria",6,35.29,2.25,0.444,15,"Bacteroidota",FALSE,FALSE
"Beutenbergiaceae","125316",9,24,0,0,22,9,0,0.01,0,0,9,0,9,"matched","Bacteria",10,45.45,1,1,15,"Actinomycetota",FALSE,FALSE
"Bifidobacteriaceae","31953",153,1829,0.06,0.16,8675,387,0.29,0.38,0,0,387,0,387,"matched","Bacteria",5087,58.64,0.395,2.529,10,"Actinomycetota",FALSE,FALSE
"Blastochloridaceae","2831090",3,28,0,0,16,6,0,0.01,0,0,6,0,6,"matched","Bacteria",5,31.25,0.5,2,15,"Pseudomonadota",FALSE,FALSE
"Blattabacteriaceae","39782",135,436,0.05,0.04,97,13,0,0.01,0,0,13,0,13,"matched","Bacteria",94,96.91,10.385,0.096,10,"Bacteroidota",FALSE,FALSE
"Bogoriellaceae","145358",36,86,0.01,0.01,62,35,0,0.03,0,0,35,0,35,"matched","Bacteria",50,80.65,1.029,0.972,10,"Actinomycetota",FALSE,FALSE
"Borreliaceae","1643685",23,160,0.01,0.01,964,48,0.03,0.05,0,0,48,0,48,"matched","Bacteria",963,99.9,0.479,2.087,10,"Spirochaetota",FALSE,FALSE
"Boseaceae","2831100",53,286,0.02,0.03,182,89,0.01,0.09,0,0,89,0,89,"matched","Bacteria",95,52.2,0.596,1.679,10,"Pseudomonadota",FALSE,FALSE
"Brachyspiraceae","143786",24,90,0.01,0.01,412,18,0.01,0.02,0,0,18,0,18,"matched","Bacteria",253,61.41,1.333,0.75,10,"Spirochaetota",FALSE,FALSE
"Bradymonadaceae","1779135",74,169,0.03,0.01,28,5,0,0,0,0,5,0,5,"matched","Bacteria",5,17.86,14.8,0.068,15,"Other",FALSE,FALSE
"Brevibacteriaceae","85019",83,389,0.03,0.03,393,110,0.01,0.11,0,0,110,0,110,"matched","Bacteria",238,60.56,0.755,1.325,10,"Actinomycetota",FALSE,FALSE
"Brevinemataceae","1100104",61,292,0.02,0.03,17,4,0,0,0,0,4,0,4,"matched","Bacteria",1,5.88,15.25,0.066,20,"Spirochaetota",FALSE,FALSE
"Brucellaceae","118882",136,1272,0.06,0.11,2014,231,0.07,0.23,0,0,231,0,231,"matched","Bacteria",1897,94.19,0.589,1.699,10,"Pseudomonadota",FALSE,FALSE
"Bruguierivoracaceae","2812006",55,108,0.02,0.01,50,35,0,0.03,0,0,35,0,35,"matched","Bacteria",36,72,1.571,0.636,10,"Pseudomonadota",FALSE,FALSE
"Bryobacteraceae","1962910",650,2629,0.26,0.23,569,10,0.02,0.01,0,0,10,0,10,"matched","Bacteria",7,1.23,65,0.015,20,"Acidobacteriota",FALSE,FALSE
"Budviciaceae","1903416",7,39,0,0,33,12,0,0.01,0,0,12,0,12,"matched","Bacteria",30,90.91,0.583,1.714,10,"Pseudomonadota",FALSE,FALSE
"Burkholderiaceae","119060",1013,8806,0.41,0.78,13942,1300,0.47,1.27,0,0,1300,0,1300,"matched","Bacteria",11199,80.33,0.779,1.283,10,"Pseudomonadota",FALSE,FALSE
"Caedimonadaceae","2100208",1,1,0,0,7,4,0,0,0,0,4,0,4,"matched","Bacteria",2,28.57,0.25,4,15,"Pseudomonadota",FALSE,FALSE
"Caldicoprobacteraceae","715221",150,447,0.06,0.04,13,7,0,0.01,0,0,7,0,7,"matched","Bacteria",5,38.46,21.429,0.047,15,"Bacillota",FALSE,FALSE
"Caldilineaceae","475964",386,1342,0.16,0.12,357,24,0.01,0.02,0,0,24,0,24,"matched","Bacteria",4,1.12,16.083,0.062,20,"Chloroflexota",FALSE,FALSE
"Caldisericaceae","693073",42,404,0.02,0.04,78,6,0,0.01,0,0,6,0,6,"matched","Bacteria",2,2.56,7,0.143,20,"Caldisericota",FALSE,FALSE
"Calditerrivibrionaceae","2945021",12,59,0,0.01,10,2,0,0,0,0,2,0,2,"matched","Bacteria",1,10,6,0.167,15,"Deferribacterota",FALSE,FALSE
"Calditrichaceae","1962854",399,1078,0.16,0.1,110,6,0,0.01,0,0,6,0,6,"matched","Bacteria",6,5.45,66.5,0.015,20,"Calditrichota",FALSE,FALSE
"Calotrichaceae","2661849",71,212,0.03,0.02,52,37,0,0.04,0,0,37,0,37,"matched","Bacteria",38,73.08,1.919,0.521,10,"Cyanobacteriota",FALSE,FALSE
"Campylobacteraceae","72294",194,1558,0.08,0.14,152397,313,5.14,0.31,0,0,313,0,313,"matched","Bacteria",151533,99.43,0.62,1.613,10,"Campylobacterota",FALSE,FALSE
