"Taxon","census_otu_count","census_size_count","otu_percentage","size_percentage","ncbi_genome_count","ncbi_species_count","isolate_count","genome_pct_db","species_pct","isolate_percentage","novelty_factor","overrepresentation_factor","match_status","domain","Circle_Size","Division","Is_Top_Novelty","Is_Top_Coverage","total_matches"
"Abditibacteriota",257,816,0.1,0.07,45,7,2,0,0.01,4.44,36.714,0.027,"matched","Bacteria",20,"Abditibacteriota",TRUE,FALSE,1
"Calditrichota",455,1257,0.17,0.11,274,13,7,0.01,0.01,2.55,35,0.029,"matched","Bacteria",20,"Calditrichota",TRUE,FALSE,1
"Planctomycetota",13119,44891,5,3.76,10360,498,384,0.4,0.57,3.71,26.343,0.038,"matched","Bacteria",20,"Planctomycetota",TRUE,FALSE,1
"Thermomicrobiota",511,1946,0.19,0.16,277,20,7,0.01,0.02,2.53,25.55,0.039,"matched","Bacteria",20,"Thermomicrobiota",TRUE,FALSE,1
"Acidobacteriota",9124,44683,3.48,3.74,12455,370,219,0.48,0.42,1.76,24.659,0.041,"matched","Bacteria",20,"Acidobacteriota",TRUE,FALSE,1
"Gemmatimonadota",2576,11870,0.98,0.99,4545,129,38,0.18,0.15,0.84,19.969,0.05,"matched","Bacteria",20,"Gemmatimonadota",TRUE,FALSE,1
"Chloroflexota",13210,58834,5.04,4.93,14682,716,516,0.57,0.82,3.51,18.45,0.054,"matched","Bacteria",20,"Chloroflexota",TRUE,FALSE,1
"Verrucomicrobiota",10214,45775,3.89,3.83,12194,606,1163,0.47,0.69,9.54,16.855,0.059,"matched","Bacteria",20,"Verrucomicrobiota",TRUE,FALSE,1
"Armatimonadota",1473,5017,0.56,0.42,1170,96,12,0.05,0.11,1.03,15.344,0.065,"matched","Bacteria",20,"Armatimonadota",TRUE,FALSE,1
"Myxococcota",3648,15086,1.39,1.26,5787,255,288,0.22,0.29,4.98,14.306,0.07,"matched","Bacteria",20,"Myxococcota",TRUE,FALSE,1
"Chlorobiota",3,4,0,0,813,56,35,0.03,0.06,4.31,0.054,18.667,"matched","Bacteria",20,"Chlorobiota",FALSE,TRUE,1
"Ignavibacteriota",11,25,0,0,1583,117,7,0.06,0.13,0.44,0.094,10.636,"matched","Bacteria",20,"Ignavibacteriota",FALSE,TRUE,1
"Chlamydiota",12,54,0,0,1410,114,802,0.05,0.13,56.88,0.105,9.5,"matched","Bacteria",10,"Chlamydiota",FALSE,TRUE,1
"Cyanobacteriota",2484,12888,0.95,1.08,7688,3955,2786,0.3,4.51,36.24,0.628,1.592,"matched","Bacteria",15,"Cyanobacteriota",FALSE,TRUE,1
"Chrysiogenota",5,13,0,0,11,6,4,0,0.01,36.36,0.833,1.2,"matched","Bacteria",15,"Chrysiogenota",FALSE,TRUE,1
"Dictyoglomota",7,133,0,0.01,29,8,3,0,0.01,10.34,0.875,1.143,"matched","Bacteria",15,"Dictyoglomota",FALSE,TRUE,1
"Actinomycetota",15932,109549,6.07,9.17,95708,17985,52746,3.7,20.53,55.11,0.886,1.129,"matched","Bacteria",10,"Actinomycetota",FALSE,TRUE,1
