"Taxon","census_taxid","census_otu_count","census_size_count","otu_percentage","size_percentage","ncbi_genome_count","ncbi_species_count","genome_pct_db","species_pct","direct_name_matches","direct_taxid_matches","hierarchical_taxid_matches","lineage_name_matches","total_matches","match_status","domain","isolate_count","isolate_percentage","novelty_factor","overrepresentation_factor","Circle_Size","Division","Is_Top_Novelty","Is_Top_Coverage"
"Mastigamoebidae","174815",1609,10879,2.27,2.71,2,1,0,0,0,0,1,0,1,"matched","Eukaryota",2,100,1609,0.001,10,"Evosea",TRUE,FALSE
"Neovahlkampfiidae","2602010",211,780,0.3,0.19,1,1,0,0,0,0,1,0,1,"matched","Eukaryota",1,100,211,0.005,10,"Discoba",TRUE,FALSE
"Digenea","256429",190,955,0.27,0.24,1,1,0,0,0,0,1,0,1,"matched","Eukaryota",1,100,190,0.005,10,"Opisthokonta",TRUE,FALSE
"Oxytrichidae","57506",800,7715,1.13,1.92,9,5,0.02,0.02,0,0,5,0,5,"matched","Eukaryota",9,100,160,0.006,10,"Alveolata",TRUE,FALSE
"Hexamitidae","5739",573,3242,0.81,0.81,41,4,0.07,0.02,0,0,4,0,4,"matched","Eukaryota",41,100,143.25,0.007,10,"Metamonada",TRUE,FALSE
"Gregarinidae","35088",130,692,0.18,0.17,1,1,0,0,0,0,1,0,1,"matched","Eukaryota",1,100,130,0.008,10,"Alveolata",TRUE,FALSE
"Labyrinthulaceae","35132",62,238,0.09,0.06,1,1,0,0,0,0,1,0,1,"matched","Eukaryota",1,100,62,0.016,10,"Stramenopiles",TRUE,FALSE
"Vannellidae","95227",56,94,0.08,0.02,2,1,0,0,0,0,1,0,1,"matched","Eukaryota",0,0,56,0.018,25,"Evosea",TRUE,FALSE
"Paramoebidae","200887",54,81,0.08,0.02,3,2,0.01,0.01,0,0,2,0,2,"matched","Eukaryota",3,100,27,0.037,10,"Evosea",TRUE,FALSE
"Spizellomycetaceae","34479",52,167,0.07,0.04,4,4,0.01,0.02,0,0,4,0,4,"matched","Eukaryota",4,100,13,0.077,10,"Opisthokonta",TRUE,FALSE
"Lepidosauria","8504",4,42,0.01,0.01,422,317,0.71,1.31,0,0,317,0,317,"matched","Eukaryota",419,99.29,0.013,79.25,10,"Opisthokonta",FALSE,TRUE
"Amphibia","8292",5,9,0.01,0,282,206,0.48,0.85,0,0,206,0,206,"matched","Eukaryota",282,100,0.024,41.2,10,"Opisthokonta",FALSE,TRUE
"Teleostei","32443",65,111,0.09,0.03,3440,2169,5.82,8.96,0,0,2169,0,2169,"matched","Eukaryota",3428,99.65,0.03,33.369,10,"Opisthokonta",FALSE,TRUE
"Kickxellales","4861",12,40,0.02,0.01,171,153,0.29,0.63,0,0,153,0,153,"matched","Eukaryota",171,100,0.078,12.75,10,"Opisthokonta",FALSE,TRUE
"Lipomycetaceae","29827",3,6,0,0,66,35,0.11,0.14,0,0,35,0,35,"matched","Eukaryota",66,100,0.086,11.667,10,"Opisthokonta",FALSE,TRUE
"Mammalia","40674",257,852,0.36,0.21,4692,1050,7.94,4.34,0,0,1050,0,1050,"matched","Eukaryota",4674,99.62,0.245,4.086,10,"Opisthokonta",FALSE,TRUE
"Schizosaccharomycetes","147554",2,13,0,0,94,8,0.16,0.03,0,0,8,0,8,"matched","Eukaryota",93,98.94,0.25,4,10,"Opisthokonta",FALSE,TRUE
"Arachnida","6854",130,496,0.18,0.12,372,241,0.63,1,0,0,241,0,241,"matched","Eukaryota",369,99.19,0.539,1.854,10,"Opisthokonta",FALSE,TRUE
"Saprolegniales","4763",5,126,0.01,0.03,98,9,0.17,0.04,0,0,9,0,9,"matched","Eukaryota",98,100,0.556,1.8,10,"Stramenopiles",FALSE,TRUE
"Lecanoromycetes","147547",220,1048,0.31,0.26,531,387,0.9,1.6,0,0,387,0,387,"matched","Eukaryota",63,11.86,0.568,1.759,15,"Opisthokonta",FALSE,TRUE
"Agaricomycetes","155619",759,5519,1.07,1.38,1799,1120,3.04,4.63,0,0,1120,0,1120,"matched","Eukaryota",1796,99.83,0.678,1.476,10,"Opisthokonta",FALSE,FALSE
"Anthozoa","6101",297,2971,0.42,0.74,340,222,0.58,0.92,0,0,222,0,222,"matched","Eukaryota",339,99.71,1.338,0.747,10,"Opisthokonta",FALSE,FALSE
"Babesiidae","32594",23,158,0.03,0.04,35,12,0.06,0.05,0,0,12,0,12,"matched","Eukaryota",33,94.29,1.917,0.522,10,"Alveolata",FALSE,FALSE
"Balamuthiidae","555408",8,12,0.01,0,3,1,0.01,0,0,0,1,0,1,"matched","Eukaryota",3,100,8,0.125,10,"Evosea",FALSE,FALSE
"Bodonidae","5708",10,15,0.01,0,1,1,0,0,0,0,1,0,1,"matched","Eukaryota",1,100,10,0.1,10,"Discoba",FALSE,FALSE
"Branchiopoda","6658",132,783,0.19,0.2,60,28,0.1,0.12,0,0,28,0,28,"matched","Eukaryota",53,88.33,4.714,0.212,10,"Opisthokonta",FALSE,FALSE
"Caenogastropoda","69555",45,225,0.06,0.06,75,53,0.13,0.22,0,0,53,0,53,"matched","Eukaryota",75,100,0.849,1.178,10,"Opisthokonta",FALSE,FALSE
"Coccomyxaceae","35472",20,87,0.03,0.02,11,7,0.02,0.03,0,0,7,0,7,"matched","Eukaryota",9,81.82,2.857,0.35,10,"Chlorophyta",FALSE,FALSE
"Cryptosporidiidae","35082",64,939,0.09,0.23,87,20,0.15,0.08,0,0,20,0,20,"matched","Eukaryota",86,98.85,3.2,0.312,10,"Alveolata",FALSE,FALSE
"Dacrymycetes","452332",5,5,0.01,0,4,4,0.01,0.02,0,0,4,0,4,"matched","Eukaryota",4,100,1.25,0.8,10,"Opisthokonta",FALSE,FALSE
"Dothideomycetes","147541",874,4225,1.23,1.05,2654,584,4.49,2.41,0,0,584,0,584,"matched","Eukaryota",2628,99.02,1.497,0.668,10,"Opisthokonta",FALSE,FALSE
"Eimeriidae","5799",68,535,0.1,0.13,70,18,0.12,0.07,0,0,18,0,18,"matched","Eukaryota",69,98.57,3.778,0.265,10,"Alveolata",FALSE,FALSE
"Eurotiomycetes","147545",604,6441,0.85,1.6,3066,720,5.19,2.97,0,0,720,0,720,"matched","Eukaryota",3007,98.08,0.839,1.192,10,"Opisthokonta",FALSE,FALSE
"Harpellales","61421",60,247,0.08,0.06,11,9,0.02,0.04,0,0,9,0,9,"matched","Eukaryota",11,100,6.667,0.15,10,"Opisthokonta",FALSE,FALSE
"Insecta","50557",3087,19878,4.35,4.95,8796,4858,14.88,20.07,0,0,4858,0,4858,"matched","Eukaryota",8739,99.35,0.635,1.574,10,"Opisthokonta",FALSE,FALSE
"Leotiomycetes","147548",374,2629,0.53,0.66,429,232,0.73,0.96,0,0,232,0,232,"matched","Eukaryota",423,98.6,1.612,0.62,10,"Opisthokonta",FALSE,FALSE
"Parameciidae","340080",65,547,0.09,0.14,22,10,0.04,0.04,0,0,10,0,10,"matched","Eukaryota",22,100,6.5,0.154,10,"Alveolata",FALSE,FALSE
"Peronosporales","4776",373,2022,0.53,0.5,318,106,0.54,0.44,0,0,106,0,106,"matched","Eukaryota",318,100,3.519,0.284,10,"Stramenopiles",FALSE,FALSE
"Plasmodiidae","1639119",103,612,0.15,0.15,176,26,0.3,0.11,0,0,26,0,26,"matched","Eukaryota",176,100,3.962,0.252,10,"Evosea",FALSE,FALSE
"Saccharomycetales","4892",233,2434,0.33,0.61,2825,173,4.78,0.71,0,0,173,0,173,"matched","Eukaryota",2770,98.05,1.347,0.742,10,"Opisthokonta",FALSE,FALSE
"Sarcocystidae","5809",76,608,0.11,0.15,40,6,0.07,0.02,0,0,6,0,6,"matched","Eukaryota",40,100,12.667,0.079,10,"Alveolata",FALSE,FALSE
"Sordariomycetes","147550",1305,9434,1.84,2.35,5769,1506,9.76,6.22,0,0,1506,0,1506,"matched","Eukaryota",5729,99.31,0.867,1.154,10,"Opisthokonta",FALSE,FALSE
"Thalassiosiraceae","29202",309,6048,0.44,1.51,32,26,0.05,0.11,0,0,26,0,26,"matched","Eukaryota",28,87.5,11.885,0.084,10,"Stramenopiles",FALSE,FALSE
"Theileriidae","27994",101,1221,0.14,0.3,18,8,0.03,0.03,0,0,8,0,8,"matched","Eukaryota",18,100,12.625,0.079,10,"Alveolata",FALSE,FALSE
"Tremellomycetes","155616",126,690,0.18,0.17,593,196,1,0.81,0,0,196,0,196,"matched","Eukaryota",587,98.99,0.643,1.556,10,"Opisthokonta",FALSE,FALSE
"Trypanosomatidae","5654",147,1188,0.21,0.3,301,107,0.51,0.44,0,0,107,0,107,"matched","Eukaryota",301,100,1.374,0.728,10,"Discoba",FALSE,FALSE
"Ustilaginomycetes","5257",69,166,0.1,0.04,135,52,0.23,0.21,0,0,52,0,52,"matched","Eukaryota",135,100,1.327,0.754,10,"Opisthokonta",FALSE,FALSE
