"Taxon","census_taxid","census_otu_count","census_size_count","otu_percentage","size_percentage","ncbi_genome_count","ncbi_species_count","genome_pct_db","species_pct","direct_name_matches","direct_taxid_matches","hierarchical_taxid_matches","lineage_name_matches","total_matches","match_status","domain","isolate_count","isolate_percentage","novelty_factor","overrepresentation_factor","Circle_Size","Division","Is_Top_Novelty","Is_Top_Coverage"
"Tubulinea","555369",1323,4810,1.87,1.2,2,1,0,0,0,0,1,0,1,"matched","Eukaryota",1,50,1323,0.001,10,"Tubulinea",TRUE,FALSE
"Rhizaria","543769",5126,24072,7.23,6,72,18,0.12,0.07,0,0,18,0,18,"matched","Eukaryota",67,93.06,284.778,0.004,10,"Rhizaria",TRUE,FALSE
"Evosea","2605435",2431,13475,3.43,3.36,56,35,0.09,0.14,0,0,35,0,35,"matched","Eukaryota",56,100,69.457,0.014,10,"Evosea",TRUE,FALSE
"Discoba","2611352",5496,21089,7.75,5.25,354,132,0.6,0.55,0,0,132,0,132,"matched","Eukaryota",347,98.02,41.636,0.024,10,"Discoba",TRUE,FALSE
"Alveolata","33630",9042,60488,12.75,15.07,658,219,1.11,0.9,0,0,219,0,219,"matched","Eukaryota",639,97.11,41.288,0.024,10,"Alveolata",TRUE,FALSE
"Metamonada","2611341",573,3242,0.81,0.81,73,25,0.12,0.1,0,0,25,0,25,"matched","Eukaryota",71,97.26,22.92,0.044,10,"Metamonada",TRUE,FALSE
"Discosea","555280",399,1365,0.56,0.34,41,27,0.07,0.11,0,0,27,0,27,"matched","Eukaryota",38,92.68,14.778,0.068,10,"Discosea",TRUE,FALSE
"Stramenopiles","33634",3668,24799,5.17,6.18,1043,480,1.76,1.98,0,0,480,0,480,"matched","Eukaryota",923,88.49,7.642,0.131,10,"Stramenopiles",TRUE,FALSE
"Chlorophyta","3041",1505,14229,2.12,3.55,518,245,0.88,1.01,0,0,245,0,245,"matched","Eukaryota",349,67.37,6.143,0.163,10,"Chlorophyta",TRUE,FALSE
"Opisthokonta","33154",24345,158758,34.34,39.56,48096,19894,81.34,82.17,0,0,19894,0,19894,"matched","Eukaryota",46745,97.19,1.224,0.817,10,"Opisthokonta",TRUE,FALSE
"Rhodophyta","2763",2,21,0,0.01,78,53,0.13,0.22,0,0,53,0,53,"matched","Eukaryota",78,100,0.038,26.5,10,"Rhodophyta",FALSE,TRUE
"Streptophyta","35493",2252,16099,3.18,4.01,7835,3043,13.25,12.57,0,0,3043,0,3043,"matched","Eukaryota",7722,98.56,0.74,1.351,10,"Streptophyta",FALSE,TRUE
